[1.0, '2.022', 7.3]
[2.0, '2.022', 7.3]
[3.0, '2.022', 7.4]
[4.0, '2.022', 7.5]
[5.0, '2.022', 7.5]
[6.0, '2.022', 7.5]
[7.0, '2.022', 7.4]
[8.0, '2.022', 7.2]
[9.0, '2.022', 7.1]
[10.0, '2.022', 7.2]
[11.0, '2.022', 7.1]
[12.0, '2.022', 7.1]
[1.0, '2.023', 7.1]
[2.0, '2.023', 7.0]
[3.0, '2.023', 6.9]
