1.000,2.010,9.500
2.000,2.010,9.400
3.000,2.010,9.300
4.000,2.010,9.300
5.000,2.010,9.300
6.000,2.010,9.200
7.000,2.010,9.200
8.000,2.010,9.200
9.000,2.010,9.200
10.000,2.010,9.200
11.000,2.010,9.200
12.000,2.010,9.200
1.000,2.011,9.200
2.000,2.011,9.200
3.000,2.011,9.100
4.000,2.011,9.100
5.000,2.011,9.100
6.000,2.011,9.100
7.000,2.011,9.200
8.000,2.011,9.200
9.000,2.011,9.200
10.000,2.011,9.300
11.000,2.011,9.400
12.000,2.011,9.400
1.000,2.012,9.500
2.000,2.012,9.500
3.000,2.012,9.500
4.000,2.012,9.600
5.000,2.012,9.700
6.000,2.012,9.700
7.000,2.012,9.700
8.000,2.012,9.700
9.000,2.012,9.800
10.000,2.012,10.000
11.000,2.012,10.200
12.000,2.012,10.300
1.000,2.013,10.400
2.000,2.013,10.400
3.000,2.013,10.400
4.000,2.013,10.500
5.000,2.013,10.400
6.000,2.013,10.400
7.000,2.013,10.300
8.000,2.013,10.100
9.000,2.013,10.200
10.000,2.013,10.100
11.000,2.013,10.200
12.000,2.013,10.200
1.000,2.014,10.200
2.000,2.014,10.200
3.000,2.014,10.200
4.000,2.014,10.100
5.000,2.014,10.100
6.000,2.014,10.200
7.000,2.014,10.200
8.000,2.014,10.200
9.000,2.014,10.300
10.000,2.014,10.400
11.000,2.014,10.500
12.000,2.014,10.500
1.000,2.015,10.400
2.000,2.015,10.300
3.000,2.015,10.400
4.000,2.015,10.400
5.000,2.015,10.500
6.000,2.015,10.400
7.000,2.015,10.300
8.000,2.015,10.300
9.000,2.015,10.300
10.000,2.015,10.300
11.000,2.015,10.300
12.000,2.015,10.200
1.000,2.016,10.300
2.000,2.016,10.400
3.000,2.016,10.200
4.000,2.016,10.100
5.000,2.016,10.000
6.000,2.016,10.000
7.000,2.016,9.800
8.000,2.016,9.900
9.000,2.016,9.900
10.000,2.016,10.100
11.000,2.016,10.100
12.000,2.016,10.000
1.000,2.017,9.700
2.000,2.017,9.600
3.000,2.017,9.600
4.000,2.017,9.500
5.000,2.017,9.500
6.000,2.017,9.500
7.000,2.017,9.600
8.000,2.017,9.500
9.000,2.017,9.300
10.000,2.017,9.100
11.000,2.017,9.000
12.000,2.017,9.000
1.000,2.018,9.200
2.000,2.018,9.300
3.000,2.018,9.300
4.000,2.018,9.200
5.000,2.018,9.100
6.000,2.018,9.000
7.000,2.018,9.000
8.000,2.018,8.900
9.000,2.018,8.800
10.000,2.018,8.800
11.000,2.018,8.800
12.000,2.018,8.800
1.000,2.019,8.800
2.000,2.019,8.700
3.000,2.019,8.700
4.000,2.019,8.500
5.000,2.019,8.500
6.000,2.019,8.500
7.000,2.019,8.400
8.000,2.019,8.300
9.000,2.019,8.200
10.000,2.019,8.200
11.000,2.019,8.200
12.000,2.019,8.200
1.000,2.020,8.200
2.000,2.020,7.800
3.000,2.020,7.600
4.000,2.020,7.600
5.000,2.020,7.000
6.000,2.020,7.400
7.000,2.020,8.600
8.000,2.020,9.000
9.000,2.020,8.900
10.000,2.020,8.300
11.000,2.020,8.100
12.000,2.020,7.900
1.000,2.021,8.000
2.000,2.021,8.200
3.000,2.021,8.200
4.000,2.021,8.200
5.000,2.021,8.000
6.000,2.021,7.900
7.000,2.021,7.900
8.000,2.021,7.800
9.000,2.021,7.700
10.000,2.021,7.500
11.000,2.021,7.400
12.000,2.021,7.400
1.000,2.022,7.300
2.000,2.022,7.300
3.000,2.022,7.400
4.000,2.022,7.500
5.000,2.022,7.500
6.000,2.022,7.500
7.000,2.022,7.400
8.000,2.022,7.200
9.000,2.022,7.100
10.000,2.022,7.200
11.000,2.022,7.100
12.000,2.022,7.100
1.000,2.023,7.100
2.000,2.023,7.000
3.000,2.023,6.900
